,Date,SPX Open Price,SPX Volume
0,2018-06-01,2718.7,3684130000
1,2018-06-04,2741.6699,3376510000
2,2018-06-05,2748.46,3517790000
3,2018-06-06,2753.25,3651640000
4,2018-06-07,2774.8401,3711330000
5,2018-06-08,2765.8401,3123210000
6,2018-06-11,2780.1799,3232330000
7,2018-06-12,2785.6001,3401010000
8,2018-06-13,2787.9399,3779230000
9,2018-06-14,2783.21,3526890000
10,2018-06-15,2777.78,5428790000
11,2018-06-18,2765.79,3287150000
12,2018-06-19,2752.01,3661470000
13,2018-06-20,2769.73,3327600000
14,2018-06-21,2769.28,3300060000
15,2018-06-22,2760.79,5450550000
16,2018-06-25,2742.9399,3655080000
17,2018-06-26,2722.1201,3555090000
18,2018-06-27,2728.45,3776090000
19,2018-06-28,2698.6899,3428140000
20,2018-06-29,2727.1299,3565620000
21,2018-07-02,2704.95,3073650000
22,2018-07-03,2733.27,1911470000
23,2018-07-05,2724.1899,2953420000
24,2018-07-06,2737.6799,2554780000
25,2018-07-09,2775.6201,3050040000
26,2018-07-10,2788.5601,3063850000
27,2018-07-11,2779.8201,2964740000
28,2018-07-12,2783.1399,2821690000
29,2018-07-13,2796.9299,2614000000
30,2018-07-16,2797.3601,2812230000
31,2018-07-17,2789.3401,3050730000
32,2018-07-18,2811.3501,3089780000
33,2018-07-19,2809.3701,3266700000
34,2018-07-20,2804.55,3230210000
35,2018-07-23,2799.1699,2907430000
36,2018-07-24,2820.6799,3417530000
37,2018-07-25,2817.73,3553010000
38,2018-07-26,2835.49,3653330000
39,2018-07-27,2842.3501,3415710000
40,2018-07-30,2819.0,3245770000
41,2018-07-31,2809.73,3892100000
42,2018-08-01,2821.1699,3496990000
43,2018-08-02,2800.48,3467380000
44,2018-08-03,2829.6201,3030390000
45,2018-08-06,2840.29,2874540000
46,2018-08-07,2855.9199,3162770000
47,2018-08-08,2856.79,2972200000
48,2018-08-09,2857.1899,3047050000
49,2018-08-10,2838.8999,3256040000
50,2018-08-13,2835.46,3158450000
51,2018-08-14,2827.8799,2976970000
52,2018-08-15,2827.95,3645070000
53,2018-08-16,2831.4399,3219880000
54,2018-08-17,2838.3201,3024100000
55,2018-08-20,2853.9299,2748020000
56,2018-08-21,2861.51,3147140000
57,2018-08-22,2860.99,2689560000
58,2018-08-23,2860.29,2713910000
59,2018-08-24,2862.3501,2596190000
60,2018-08-27,2884.6899,2854080000
61,2018-08-28,2901.45,2683190000
62,2018-08-29,2900.6201,2791860000
63,2018-08-30,2908.9399,2802180000
